algo_id,n1000_ab_time_us,n1000_abt_view_time_us,n1024_ab_time_us,n1024_abt_view_time_us,n2048_ab_time_us,n2048_abt_view_time_us
6,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,NA
11,NA,NA,NA,NA,NA,NA
20,NA,NA,28.736000061035156,26.684799194335938,162.04479217529297,155.45023918151855
21,NA,NA,NA,8.261119723320007,NA,26.684160232543945
23,NA,14.398080110549927,NA,14.398080110549927,NA,45.11871814727783
39,NA,NA,NA,NA,NA,NA
41,NA,NA,NA,NA,NA,NA
64,32.85056114196777,23.9084792137146,38.97216081619263,32.84287929534912,136.88639640808105,100.38656234741211
70,NA,NA,7.442560195922852,7.663999795913696,14.420479536056519,14.419200420379639
71,NA,NA,7.8918397426605225,7.914239764213562,12.371840476989746,12.363519668579102
