case_id,order_a,order_b,order_c,variant,symmetric_inputs,iters,warmup,ok,avg_ms,time_us,algo_id,tile_id,stages_id,splitk_num,returncode,reason
n1000_int8_a_row_b_row_c_row_ab_sym,row,row,row,AB,True,2000,200,True,0.032787,32.787,64,20,8,1,0,
n1000_int8_a_row_b_row_c_row_atb_view_sym,row,row,row,ATB_view,True,2000,200,True,0.040921,40.921,64,20,8,1,0,
n1000_int8_a_row_b_row_c_row_abt_view_sym,row,row,row,ABT_view,True,2000,200,True,0.012289,12.289,23,18,21,1,0,
n1000_int8_a_row_b_col_c_row_ab_sym,row,col,row,AB,True,2000,200,True,0.012288,12.288,23,18,21,1,0,
n1000_int8_a_row_b_col_c_row_atb_view_sym,row,col,row,ATB_view,True,2000,200,True,0.027224,27.224,64,20,8,1,0,
n1000_int8_a_row_b_col_c_row_abt_view_sym,row,col,row,ABT_view,True,2000,200,True,0.032788,32.788,64,20,8,1,0,
n1000_int8_a_col_b_row_c_row_ab_sym,col,row,row,AB,True,2000,200,True,0.040913,40.913,64,20,8,1,0,
n1000_int8_a_col_b_row_c_row_atb_view_sym,col,row,row,ATB_view,True,2000,200,True,0.032787,32.787,64,20,8,1,0,
n1000_int8_a_col_b_row_c_row_abt_view_sym,col,row,row,ABT_view,True,2000,200,True,0.027126,27.126,64,20,8,1,0,
n1000_int8_a_col_b_col_c_row_ab_sym,col,col,row,AB,True,2000,200,True,0.027126,27.126,64,20,8,1,0,
n1000_int8_a_col_b_col_c_row_atb_view_sym,col,col,row,ATB_view,True,2000,200,True,0.012288,12.288,23,18,21,1,0,
n1000_int8_a_col_b_col_c_row_abt_view_sym,col,col,row,ABT_view,True,2000,200,True,0.043514,43.513999999999996,64,20,8,1,0,
n1000_int8_a_row_b_row_c_col_ab_sym,row,row,col,AB,True,2000,200,True,0.030653,30.653,64,20,8,1,0,
n1000_int8_a_row_b_row_c_col_atb_view_sym,row,row,col,ATB_view,True,2000,200,True,0.051371,51.371,64,20,8,1,0,
n1000_int8_a_row_b_row_c_col_abt_view_sym,row,row,col,ABT_view,True,2000,200,True,0.014278,14.278,23,18,21,1,0,
